ID,Módulo,Caso de prueba,Descripción,Precondiciones,Pasos,Datos de entrada,Resultado esperado en el front,Resultado obtenido,Estado
CP-01,Mesas,Ver listado de mesas,Verificar que se muestran todas las mesas al ingresar al sistema,Base de datos activa con mesas cargadas,"1. Ingresar al sistema · 2. Navegar a la sección de mesas","—","Se muestra una grilla/lista con todas las mesas y su estado (Disponible / Ocupada)","—",Pendiente
CP-02,Mesas,Ver detalle de una mesa,Verificar que al seleccionar una mesa se muestra su información completa,"Base de datos activa · Al menos una mesa existente","1. Ir a la sección de mesas · 2. Hacer clic en una mesa","Mesa id=1","Se muestra el detalle de la mesa: número, capacidad, estado, clientes actuales y consumo actual","—",Pendiente
CP-03,Mesas,Seleccionar mesa inexistente,Verificar que se muestra un mensaje de error al acceder a una mesa que no existe,"Navegación directa por URL a una mesa inexistente","1. Ingresar manualmente a la URL de una mesa con id inválido","id: 9999","Se muestra un mensaje de error o pantalla de 'Mesa no encontrada'","—",Pendiente
CP-04,Mesas,Crear nueva mesa,Verificar que una mesa nueva aparece en la lista al crearla,Base de datos activa,"1. Ir a sección de mesas · 2. Hacer clic en 'Nueva mesa' · 3. Completar el formulario · 4. Confirmar","Número: 1 · Capacidad: 4","La nueva mesa aparece en la lista con estado 'Disponible' y consumo $0","—",Pendiente
CP-05,Mesas,Ocupar una mesa,Verificar que la mesa refleja visualmente que está ocupada,"Mesa en estado Disponible","1. Seleccionar una mesa disponible · 2. Ingresar cantidad de clientes · 3. Confirmar ocupación","clientesActuales: 2","La mesa cambia su indicador visual a 'Ocupada' y muestra la cantidad de clientes","—",Pendiente
CP-06,Mesas,Liberar una mesa,Verificar que la mesa vuelve a estar disponible y los pedidos quedan como historial,"Mesa en estado Ocupada con pedidos activos","1. Seleccionar la mesa ocupada · 2. Hacer clic en 'Cerrar mesa' o 'Liberar' · 3. Confirmar","estado: Disponible","La mesa vuelve a mostrarse como 'Disponible' · Los pedidos del historial aparecen como 'Completado'","—",Pendiente
CP-07,Mesas,Eliminar una mesa,Verificar que la mesa desaparece del listado al eliminarla,"Mesa existente sin pedidos activos","1. Seleccionar una mesa · 2. Hacer clic en 'Eliminar' · 3. Confirmar el diálogo","id: 1","La mesa desaparece del listado de mesas","—",Pendiente
CP-08,Platos,Ver menú de platos,Verificar que se listan todos los platos disponibles,Base de datos con platos cargados,"1. Navegar a la sección de menú/platos","—","Se muestra la lista de platos con nombre, descripción y precio de cada uno","—",Pendiente
CP-09,Platos,Ver detalle de un plato,Verificar que se puede ver la información completa de un plato,"Al menos un plato existente","1. Ir al menú · 2. Seleccionar un plato","id: 1","Se muestra el detalle del plato: nombre, código, descripción y precio","—",Pendiente
CP-10,Platos,Seleccionar plato inexistente,Verificar que se muestra un error al acceder a un plato que no existe,"Navegación directa por URL","1. Ingresar manualmente a la URL de un plato con id inválido","id: 9999","Se muestra un mensaje de error o pantalla de 'Plato no encontrado'","—",Pendiente
CP-11,Platos,Crear nuevo plato,Verificar que un plato nuevo aparece en el menú al crearlo,Base de datos activa,"1. Ir a la sección de menú · 2. Hacer clic en 'Nuevo plato' · 3. Completar el formulario · 4. Guardar","Código: 101 · Nombre: Milanesa · Descripción: Con papas fritas · Precio: 1500","El nuevo plato aparece en el listado del menú","—",Pendiente
CP-12,Pedidos,Agregar un pedido a una mesa,Verificar que al agregar un pedido aparece en la lista y actualiza el consumo,"Mesa ocupada · Platos disponibles en el menú","1. Seleccionar una mesa ocupada · 2. Hacer clic en 'Agregar pedido' · 3. Seleccionar un plato del menú · 4. Confirmar","mesaId: 1 · platoId: 1","El pedido aparece en la lista de pedidos de la mesa · El consumo actual de la mesa se actualiza sumando el precio del plato","—",Pendiente
CP-13,Pedidos,Consumo acumulado con múltiples pedidos,Verificar que el total visible en la mesa es la suma de todos los pedidos activos,"Mesa ocupada · Plato con precio $1500","1. Agregar pedido para persona 1 · 2. Agregar pedido para persona 2 · 3. Ver detalle de la mesa","2x Milanesa ($1500 c/u)","El consumo actual de la mesa muestra $3000","consumoActual: $3000",Pasó
